n,time_mean_sec,time_sd_sec
256,0.0012066800030879677,0.0002758287699100409
512,0.0019945999956689775,0.000354727775351232
1024,0.003820720023941249,0.00025948820996596887
2048,0.008234660013113172,0.00030510804718029906
4096,0.018457639997359367,0.000504125582354873
8192,0.04756452000001445,0.005043425496853678
