n,dc_mean_sec,dc_sd_sec,brute_mean_sec,brute_sd_sec
32,6.313999183475971e-05,8.646848974551258e-06,6.682000821456313e-05,3.006160771331431e-06
64,0.000133380014449358,8.917225107604382e-06,0.0002497999928891659,9.713127147279579e-06
128,0.0003009599982760847,2.3774959786883908e-05,0.0010570199927315115,0.0001269313002999866
256,0.0007560000056400895,0.00011452832668806175,0.004026739997789264,0.0001736195448128705
