n,time_mean_sec,time_sd_sec,selected_mean
1000,0.00017572001088410615,7.822849472572092e-06,91.2
2000,0.0003530000103637576,8.245599024947024e-06,119.6
4000,0.0007476599770598113,2.5896203469331618e-05,176.6
8000,0.001896160002797842,0.00029862211692138725,240.2
16000,0.0036326200002804398,0.00014009973433141813,348.4
32000,0.008039520005695522,0.0005433500884316618,496.2
